"prompt","completion"
"There are exactly half a dozen eggs","{'type':'query','expressions':['|exists x0 (egg(x0)).| == 6']}"
"There are exactly a dozen doughnuts","{'type':'query','expressions':['|exists x0 (doughnut(x0)).| == 12']}"
"There are a dozen eggs","{'type':'query','expressions':['|exists x0 (egg(x0)).| >= 12']}"
"A dozen eggs present in the kitchen","{'type':'query','expressions':['|exists x0 (egg(x0)).| >= 12']}"
"There are a half a dozen carrots","{'type':'query','expressions':['|exists x0 (carrot(x0)).| >= 6']}"
"There are less than a dozen of doughnuts","{'type':'query','expressions':['|exists x0 (doughnut(x0)).| < 12']}"
"How many baking trays are there?","{'type':'query','expressions':['|exists x0 (bakingTray(x0)).|']}"
"How many green chili peppers are there in the kitchen?","{'type':'query','expressions':['|exists x0 (greenChiliPepper(x0)).|']}"
"Tell me the number of avocados","{'type':'query','expressions':['|exists x0 (avocado(x0)).|']}"
"Count the number of onions","{'type':'query','expressions':['|exists x0 (onion(x0)).|']}"
"Count the carrots","{'type':'query','expressions':['|exists x0 (carrot(x0)).|']}"
"Count red onions","{'type':'query','expressions':['|exists x0 (redOnion(x0)).|']}"
"Check the number of avocados","{'type':'query','expressions':['|exists x0 (avocado(x0)).|']}"
"No vegetable is a carrot","{'type':'query','expressions':['|exists x0 (vegetable(x0) & carrot(x0)).| == 0']}"
"There are no onions","{'type':'query','expressions':['|exists x0 (onion(x0)).| == 0']}"
"No onions in the kitchen","{'type':'query','expressions':['|exists x0 (onion(x0)).| == 0']}"
"All vegetables are baby carrots","{'type':'query','expressions':['all x0 (vegetable(x0) -> babyCarrots(x0)).']}"
"All peppers are red chili peppers","{'type':'query','expressions':['all x0 (pepper(x0) -> redChiliPepper(x0)).']}"
"Every bowl is a large bowl","{'type':'query','expressions':['all x0 (bowl(x0) -> largeBowl(x0)).']}"
"All onions are not red onions","{'type':'query','expressions':['all x0 (onion(x0) -> -redOnion(x0)).']}"
"Every pepper is not a red pepper","{'type':'query','expressions':['all x0 (pepper(x0) -> -redPepper(x0)).']}"
"No cheese is feta cheese","{'type':'query','expressions':['|exists x0 (cheese(x0) & fetaCheese(x0)).| == 0']}"
"Not all cheese is feta cheese","{'type':'query','expressions':['exists x0 (cheese(x0) & -fetaCheese(x0)).' >= 1]}"
"Not every onion is a red onion","{'type':'query','expressions':['exists x0 (onion(x0) & -redOnion(x0)).' >= 1]}"
"Not every vegetable is an onion in the kitchen","{'type':'query','expressions':['exists x0 (vegetable(x0) & -onion(x0)).' >= 1]}"
"There are between 5 and 9 green chili peppers","{'type':'query','expressions':['5 <= |exists x0 (greenChiliPepper(x0)).| <= 9']}"
"There are between two and ten bananas","{'type':'query','expressions':['2 <= |exists x0 (banana(x0)).| <= 10']}"
"Between 15 and 17 peppers","{'type':'query','expressions':['15 <= |exists x0 (pepper(x0)).| <= 17']}"
"Between 1 and 21 tomatoes are present in the kitchen","{'type':'query','expressions':['1 <= |exists x0 (tomato(x0)).| <= 21']}"
"Onions","{'type':'invalid'}"
"Oven","{'type':'invalid'}"
"red chili peppers","{'type':'invalid'}"
"Vegetables","{'type':'invalid'}"
"Sing vegetables","{'type':'invalid'}"
"Weekend is great","{'type':'invalid'}"
"Blah blah blah","{'type':'invalid'}"
"I don't like eating pizza","{'type':'invalid'}"
"LAK ASJS ASA SJA","{'type':'invalid'}"
"Cut something","{'type':'invalid'}"
"Cut someone","{'type':'invalid'}"
"Fetch anything","{'type':'invalid'}"
"Transfer what you want","{'type':'invalid'}"
"Sprinkle that thing","{'type':'invalid'}"
"Bake those","{'type':'invalid'}"
"Line something","{'type':'invalid'}"
"I do not like olives","{'type':'invalid'}"
"Jump","{'type':'invalid'}"
"Do you listen to music?","{'type':'invalid'}"
"I am sad","{'type':'invalid'}"
"Lorem ipsum dolor sit amet","{'type':'invalid'}"
"I am not sure what I need","{'type':'invalid'}"
"Bake","{'type':'invalid'}"
"Cut","{'type':'invalid'}"
"Cook that there","{'type':'invalid'}"
"Line","{'type':'invalid'}"
"Fly now over the kitchen","{'type':'invalid'}"
"Sing for me","{'type':'invalid'}"
"Cry me a river","{'type':'invalid'}"
"Dance with an onion","{'type':'invalid'}"
"Run to the car","{'type':'invalid'}"
"I love swimming","{'type':'invalid'}"
"Buy me some tickets at a Dua Lipa concert","{'type':'invalid'}"
"Don't show up","{'type':'invalid'}"
"Follow the noise","{'type':'invalid'}"
"Jump now on the table","{'type':'invalid'}"
"Recommend me a movie","{'type':'invalid'}"
"Pay my rent","{'type':'invalid'}"
"Be careful","{'type':'invalid'}"
"Red Hot Chili Peppers will have a tour in Europe this year","{'type':'invalid'}"
"This sentence is only for training","{'type':'invalid'}"
"","{'type':'invalid'}"
"Fetch that","{'type':'invalid'}"
"Fetch zero onions","{'type':'invalid'}"
"Fetch no onions","{'type':'invalid'}"
"Bake 0 trays","{'type':'invalid'}"
"Cut 0 onions with any knife","{'type':'invalid'}"
"Shape 0 things","{'type':'invalid'}"
"Bake no bowls","{'type':'invalid'}"
"Cut no onions","{'type':'invalid'}"
"Mix nothing","{'type':'invalid'}"
"Do not cut onions","{'type':'invalid'}"
"Line no baking trays","{'type':'invalid'}"
"Cover zero baking trays","{'type':'invalid'}"
"Mix no large bowls","{'type':'invalid'}"
"Mix zero medium bowls","{'type':'invalid'}"
"Do not sprinkle sugar","{'type':'invalid'}"
"Shape nothing","{'type':'invalid'}"
"Shape no bowl","{'type':'invalid'}"
"Transfer nothing","{'type':'invalid'}"
